LeftStim,RightStim,Reward,Choice,PrevChoice,Difficulty,Movement
0,0.196970934,0,0.228577835,0,0.561924451,0.01252678
0.121703286,0,0.365161736,0,0.506777149,0,0.006357829
0,0,0,0.50053077,0,0.49946923,0
0.036277146,0.071513771,0.166062814,0.530162087,0.151334105,0.044650077,0
0.51484001,0.054125858,0.106646357,0.310320737,0,0.014067038,0
0,0,0.477017928,0.496494101,0,0,0.026487971
0.239672655,0,0.087567334,0,0.628201232,0,0.04455878
0,0.295759483,0,0.35918893,0.165978731,0.179072857,0
0.457066902,0.342407488,0.119872873,0,0.014628081,0.037212838,0.028811817
0,0,0,0.410001042,0.552285861,0,0.037713097
0.08716864,0,0.054328582,0.373566319,0.15500948,0.266158135,0.063768844
0.067564037,0.081871738,0.353598856,0.375959529,0,0,0.121005839
0.034858627,0.571769127,0.393372246,0,0,0,0
0.330825917,0,0,0,0.650368648,0,0.018805435
0.052698567,0,0.249945815,0.305129767,0,0.380200513,0.012025338
0.087931548,0.111940768,0.537060553,0,0.263067131,0,0
0,0,0.38618984,0,0.61381016,0,0
0,0.274552277,0,0.36978344,0,0.355664283,0
0,0,0,0.465478779,0.168031337,0.366489884,0
0,0,0.012175004,0.573795595,0.119169104,0.284299836,0.010560461
0.298972701,0.252387273,0,0,0,0.448640026,0
0.021395416,0.034751304,0.168741302,0.501862577,0.273249401,0,0
0.214181924,0.268376459,0.162658031,0,0,0.354783586,0
0.354180174,0.267266552,0,0,0,0.375761623,0.002791652
0.25362806,0.202510713,0,0.188730219,0.148293415,0.206837594,0
0,0,0,0.571653184,0.428346816,0,0
0,0,0,0,0,0,1
0,0.273277965,0,0,0.445221004,0,0.281501031
0.026574639,0.092070829,0.680762908,0,0,0.187179356,0.013412268
0.213295761,0.140994235,0.126559964,0.183973407,0,0.332077763,0.00309887
0,0,0,0,0,0,1
0.734346607,0.151548417,0,0,0,0.114104976,0
0,0,0,0,0.906183575,0.093816425,0
0.289464384,0.147258942,0.099546345,0,0,0.463730329,0
0.103634542,0.149000243,0.477120945,0.27024427,0,0,0
0,0.142848743,0.241294197,0,0,0.61585706,0
0,0,0.105662951,0,0,0.894337049,0
0,0,0,0.101007844,0.395621041,0.503371115,0
0,0.007825188,0,0.299479168,0.311701877,0.380993767,0
0.025797114,0.03981445,0.037167019,0.169384935,0.624520039,0.099183189,0.004133253
0.34200853,0.015642433,0.525922045,0.115918401,0,0,0.000508592
0.154725676,0.227050588,0.077914207,0.186429616,0,0.353879912,0
0.360444006,0.049378768,0.160211093,0.046751141,0,0.33603721,0.047177782
0.221558519,0.210570021,0.255139559,0,0,0.300256067,0.012475835
0,0,0,0,0.451292506,0.509359127,0.039348367
0.105861483,0.187766387,0.110599855,0.397464769,0,0.188470705,0.009836801
0.125252848,0.059086956,0.248773407,0,0,0.500200158,0.066686631
0,0,0,0.447554905,0.28218617,0.270258925,0
0.078388377,0.170792404,0,0.337404347,0,0.361306921,0.052107951
0,0.547918993,0.452081007,0,0,0,0
0.197007263,0.281158214,0.150123327,0,0.199358936,0.172352261,0
0.136145575,0.074708816,0.517128103,0,0,0.261456177,0.010561329
0.03702948,0.20644305,0.138668486,0.429251924,0.093954401,0.088917024,0.005735635
0,0.067076862,0.205038979,0,0,0.727884159,0
0.112707473,0.414041622,0.046952925,0,0.242430891,0.168729089,0.015138
0.238098309,0.055401076,0.498972885,0.147973105,0.059554625,0,0
0.408757144,0.318580074,0.035047676,0.123816122,0.111791203,0.00200778,0
0,0,0,0,1,0,0
0.122029817,0.111182476,0.247436056,0.081283367,0,0.425628696,0.012439588
0.298395785,0.25993715,0.281639372,0,0,0.154132476,0.005895217
0.490816546,0,0,0,0.509183454,0,0
0.284907535,0.23456974,0.233465335,0,0.24705739,0,0
0.13598412,0.373493367,0,0.295017975,0.111888695,0.079890499,0.003725344
0.193472823,0.184544705,0.103361254,0.081522721,0,0.414089478,0.023009018
0.7842422,0,0,0,0,0.2157578,0
0.021227578,0.028924109,0.399919978,0.362762943,0.160167739,0,0.026997653
0.017753658,0.279008471,0.400227233,0.061420283,0,0.23853692,0.003053434
0.048600502,0.02998916,0.780277869,0.104287642,0.021617906,0.015226921,0
0.141625791,0.064923989,0.616918335,0.168198924,0,0,0.008332962
0.284445595,0.082030235,0,0,0,0.597748904,0.035775267
0.01504733,0.227886891,0.609878261,0.096030119,0,0.0511574,0
0,0.14611366,0.208775937,0.337801245,0.151394753,0.04734129,0.108573115
0.13570779,0.133430609,0.056945352,0.263355905,0,0.410560345,0
0.050437394,0.129015045,0.410430725,0,0,0.410116836,0
0.013932991,0,0,0,0,0.986067009,0
0.063106199,0.14229558,0.403011106,0.350927374,0,0,0.040659741
0.108943606,0.05590342,0.164734014,0.236384521,0,0.408797574,0.025236865
0,0,0,0.277860183,0.722139817,0,0
0.294789232,0,0,0,0.357493354,0.347717414,0
0.104120902,0,0.099020805,0.140419149,0.498958164,0.1389104,0.01857058
0,0,0,0.16963277,0.83036723,0,0
